machine_id,window_start,n_samples,_mean_temperature,_std_temperature,_mean_vibration,_std_vibration,_mean_pressure,_std_pressure,_mean_humidity,_std_humidity,label
0,2026-02-24T08:33:10,60,50.95576239869674,1.114801442122099,0.5209225532827225,0.06824560159898836,101.29626919881177,0.01780202956117676,30.072289646702973,0.5246742998418203,1
0,2026-02-24T08:33:40,60,51.01248569999018,0.5803179805161516,0.5284100560514295,0.021125068173467137,101.29816158946305,0.019182613112570756,30.140228607727536,0.4648251600898244,1
0,2026-02-24T08:34:10,60,51.36751798018198,0.779020448808725,0.5375495680243897,0.02116186856233984,101.2955809399032,0.020510906881191296,30.044510001699294,0.47965467150265056,1
0,2026-02-24T08:34:40,60,52.16634287777812,0.4713908412634399,0.542539580413446,0.019783455843799737,101.28992531877466,0.021126736175918204,30.081346120988425,0.49803775872035266,1
0,2026-02-24T08:35:10,60,52.7563036278367,1.3015256158415476,0.5627444158205486,0.12539638965237448,101.2875567647446,0.019798621710579646,30.17512150395827,0.4516957000444769,1
0,2026-02-24T08:35:40,30,53.16430642484681,1.7045293536149202,0.5775866775354427,0.1753687299658558,101.28629129762685,0.01738670902442649,30.149123595625863,0.447127809634436,1
1,2026-02-24T08:33:11,60,51.37240799580403,1.4953728848794117,0.5384786054442781,0.1233626602513363,101.29125470809672,0.025129288087603847,30.026458269959623,0.5718155135614785,1
1,2026-02-24T08:33:41,60,53.80089547113476,1.733066642971388,0.5270425688832697,0.020867270599686846,101.27446266274096,0.02473627222963873,30.009605155226968,0.4710718970027221,1
1,2026-02-24T08:34:11,60,56.730762755865356,1.6840413643898373,0.539705299171715,0.019011310045600475,101.25578288391121,0.02176969818411515,30.018110329863305,0.46716883833504047,1
1,2026-02-24T08:34:41,60,58.33722362962513,1.598668952631135,0.5463056890179918,0.015535639254788274,101.23275521417911,0.02496703603179166,30.192601701930506,0.3553444877776109,1
1,2026-02-24T08:35:11,60,57.88409507137685,1.641258043426942,0.5485965389209719,0.01572027673636183,101.20423273402179,0.028791863791839893,30.286334036643083,0.020827751232455713,1
1,2026-02-24T08:35:41,30,57.26664737211391,0.5485083164450409,0.5498944502948552,0.016978367135955002,101.18738513922689,0.019967772704677852,30.286953764361428,3.552713678800501e-15,1
2,2026-02-24T08:33:12,60,50.199877043701704,1.1627142953462375,0.5312936105385823,0.1103210341006389,101.29869741333424,0.022067272474389586,30.045512819735464,0.5290190218278409,1
2,2026-02-24T08:33:42,60,50.08008896682431,0.2829583083178893,0.5270441927864759,0.023044923392657523,101.30161674116134,0.01913194387976919,30.03622368325565,0.4718050178717916,1
2,2026-02-24T08:34:12,60,50.3985212346238,1.8297009669270095,0.5701362138489301,0.18150757794330083,101.30447431578112,0.018825270751255823,30.043745209643202,0.4350817263495157,1
2,2026-02-24T08:34:42,60,50.44798931601374,1.8222951835280905,0.5801003748067635,0.17973850814979578,101.30804856375464,0.02071149744039536,30.078614212761803,0.48920096203430613,1
2,2026-02-24T08:35:12,60,50.514294275898266,2.2047980741847026,0.5720483053518449,0.11760626034936754,101.3118026500026,0.020003590882424316,30.112913353230525,0.4799260746119544,1
2,2026-02-24T08:35:42,30,50.91498253074045,3.0545245073419074,0.5902793851901654,0.16299379009825513,101.3126618535508,0.019657665120329394,30.090577380966263,0.43956358673849444,1
3,2026-02-24T08:33:13,60,50.37816038933981,2.2058777753095122,0.5377036633860803,0.10798356756815566,101.30063968310488,0.01927298491468912,30.067575948107617,0.41087462350301235,1
3,2026-02-24T08:33:43,60,50.4270243004502,2.1963091099547465,0.5481988711925461,0.10631757368421917,101.30441862950369,0.01988550710800343,30.121201756245853,0.2157544983914273,1
3,2026-02-24T08:34:13,60,50.08602934533572,0.26656651525056746,0.5417638567974173,0.019830326547791866,101.305352700129,0.018314300760723656,30.178830731028448,3.552713678800501e-15,1
3,2026-02-24T08:34:43,60,50.08028268965436,0.2720700094742206,0.5481346737290863,0.02006296955106511,101.30293851407001,0.01737092845006102,30.178830731028448,3.552713678800501e-15,1
3,2026-02-24T08:35:13,60,50.24424531047517,0.8098682607447791,0.559897920783986,0.10019834077243951,101.30289680386682,0.023129844772672714,30.178830731028448,3.552713678800501e-15,1
3,2026-02-24T08:35:43,30,50.419432507412374,1.082454912229267,0.5716166681433887,0.13923239767011622,101.30324496929376,0.02841760269180766,30.17883073102845,7.105427357601002e-15,1
4,2026-02-24T08:33:14,60,49.99660177610631,0.3005134445864179,0.5179767056728459,0.019960145369646135,101.3020280011788,0.019099782447314317,29.983777385394585,0.4781988489014237,0
4,2026-02-24T08:33:44,60,50.024967505218115,0.3291799629497589,0.5289458821876231,0.019276466210967215,101.30098410828809,0.02127650241553894,29.984793329039753,0.4696402513166055,0
4,2026-02-24T08:34:14,60,50.07320332891457,0.2939277589589882,0.538377719141694,0.018981633201809282,101.30191460208826,0.021581644941665357,30.092442161270785,0.45906743065530214,0
4,2026-02-24T08:34:44,60,50.421660514561935,1.7638218613728507,0.570291042972746,0.12912791968364826,101.30574093808323,0.02227934625646728,30.14495268016713,0.42034023963312545,1
4,2026-02-24T08:35:14,60,50.492520540926805,1.7505232962083748,0.5746840640352928,0.12900730657084541,101.30906893677205,0.018840765870813302,30.154447513173555,0.41653380913137783,1
4,2026-02-24T08:35:44,30,50.213473083685365,0.26477579562712583,0.5509463862656445,0.027871857376836482,101.31039602992612,0.014574759492769051,30.137061963140113,0.42691969652665646,0


